35	3.67	3.77	1.63
28.5	3.35	3.77	3.9
35.5	2.87	2.86	5.07
29.75	12.19	2.17	2.59
27	2.12	0.83	1.64
36	5.61	2.28	2.68
38.5	4.33	5.7	2.38
35.25	2.49	1.41	2.83
35.75	7.05	4.42	8.08
36	7.04	2.12	4.02
23.75	5.49	2.05	5.31
37	5.05	2.36	1.41
39.5	2.18	2.05	6.13
36.5	2.29	1.89	2.45
31.5	7.23	5.07	3.54
33	5.72	0.83	9.74
30.4	2.33	2.06	3.31
37.5	4.97	4.74	3.03
41.33	0.94	4.09	7.76
38.5	0.5	2	1.5
38.5	0.5	2	1.5
36.15	3.74	4.17	6.12
36.15	3.74	4.17	6.12
32	2.74	3.68	2.16
41.25	3.77	1.79	1.5
38.5	0.5	3.28	1.12
36	3.67	2.18	2.38
40.75	6.38	6.61	5.52
28.5	1.12	4.09	5.12
25.25	3.63	4.92	1.89
39	3.54	3.27	2.38
29.25	5.67	5.83	1.22
25.67	4.19	2.05	3.5
39	3.54	2.59	1.79
30	0.71	2.92	4.06
24.5	3.57	3.35	6.3
38.25	5.8	2.55	2.74
37.5	1.5	1.25	1.63
35.33	1.7	1.41	3.56
40.25	3.63	5.31	5.67
33.75	6.53	4.15	4.55
31.75	1.3	5.17	8.26
36.75	3.34	2.17	3.84
40.5	1.5	3.11	2.45
37.75	1.09	3.49	2.35
41	2.74	4.92	3.56
34.5	6.18	3.4	7.08
28.67	1.7	1.25	0.5
36	6.36	4.06	1.09
41	2.55	6.24	3.34
37.5	1.5	3.83	3.24
39	4.9	0	3
35.67	6.13	6.18	4.11
23.25	8.7	4.15	6
38	5.2	3.11	5.26
38.67	1.89	1.25	2.49
35.33	1.7	0.47	1.41
37.5	1.5	1.09	5.31
34.25	5.07	0.87	4.09
32	3.24	5.63	6.3
31.5	6.87	3.3	3.3
40.75	2.68	4.99	1.41
36.5	2.5	0.43	4.3
37.67	1.25	2.18	1.25
39.25	6.61	0.43	3.08
29.67	2.05	1	1.7
25.75	3.27	2.86	7.23
35.75	5.21	1.79	0.71
33.75	1.3	6.42	3.7
34.25	2.38	6.12	8.14
40.25	5.45	2.68	3
28.75	4.09	3.77	3.42
26.25	6.14	6.06	5.21
40.5	2.69	4.11	1.41
36.75	2.28	4.49	5.2
35.67	4.03	4.12	1.89
36	9.82	2.12	3.9
32.75	2.05	3.67	2.28
22.33	4.11	0.47	2.87
36	4.74	2.68	4.92
38	1.22	2.5	3.11
36.5	0.5	2.17	1.22
37.75	5.49	2.74	3.77
36	6.75	3.27	4.97
29	2.74	3.11	5.36
39	6.71	3.28	2.35
39.25	2.86	1.63	3.3
35.5	4.15	1.09	4.24
41.33	1.25	2.12	8.18
28.33	5.79	3.09	4.15
28.5	5.41	2.17	3.57
30	5.79	1.92	3.35
38.75	3.49	1.79	4.33
35.25	1.3	4.64	1.3
37.75	4.38	5.7	2.05
33	8.15	0.94	4.3
25	4.24	4.71	3.74
31.25	10.11	3.96	4.27
34	2.92	3	0.5
29.67	2.87	7.3	2.83
34.5	4.5	2.49	4.32
28.8	1.94	1.22	2.64
25.33	3.68	4.82	4.5
38.25	7.08	4.66	3.03
36.75	3.9	3.5	1.92
35.75	3.83	3.68	2.62
32.67	8.34	3.27	2.55
37.5	3.64	3.42	8.22
24.75	5.67	4.56	3.7
29.5	7.79	1.48	4.26
39.75	3.27	3	4.78
37.75	1.09	1.79	2.86
37.75	3.7	4.39	1.79
33.5	8.41	4.92	2.36
27.75	3.34	2.06	3.76
34.5	6.18	3.56	3.68
42.5	3.35	1.79	1.87
40.33	0.94	1.22	0.94
