35	3.67	16.5	3.77	14	1.63
28.5	3.35	17.5	3.77	12.25	3.9
35.5	2.87	15.75	2.86	17.75	5.07
29.75	12.19	16.25	2.17	20.75	2.59
27	2.12	16.75	0.83	24.75	1.64
36	5.61	12.25	2.28	19.25	2.68
38.5	4.33	16	5.7	15.25	2.38
35.25	2.49	16	1.41	15	2.83
35.75	7.05	11	4.42	12.5	8.08
36	7.04	15	2.12	16.75	4.02
23.75	5.49	12.33	2.05	16.75	5.31
37	5.05	16.67	2.36	17	1.41
39.5	2.18	20.67	2.05	15.67	6.13
36.5	2.29	21.33	1.89	12	2.45
31.5	7.23	17.25	5.07	15	3.54
33	5.72	20.25	0.83	14.33	9.74
30.4	2.33	19.5	2.06	22.2	3.31
37.5	4.97	12	4.74	13.25	3.03
41.33	0.94	18.5	4.09	11.67	7.76
38.5	0.5	19	2	16.5	1.5
38.5	0.5	19	2	16.5	1.5
36.15	3.74	16.5	4.17	14.69	6.12
36.15	3.74	16.5	4.17	14.69	6.12
32	2.74	17.67	3.68	15	2.16
41.25	3.77	15.25	1.79	17.5	1.5
38.5	0.5	15.5	3.28	18.5	1.12
36	3.67	14.5	2.18	16.75	2.38
40.75	6.38	12.25	6.61	14	5.52
28.5	1.12	15.25	4.09	14.25	5.12
25.25	3.63	14.67	4.92	16.67	1.89
39	3.54	16.75	3.27	19.25	2.38
29.25	5.67	13	5.83	16	1.22
25.67	4.19	17.67	2.05	17.5	3.5
39	3.54	13.75	2.59	18.75	1.79
30	0.71	14	2.92	19	4.06
24.5	3.57	15.5	3.35	16.25	6.3
38.25	5.8	12	2.55	18	2.74
37.5	1.5	15.33	1.25	18	1.63
35.33	1.7	16	1.41	17.25	3.56
40.25	3.63	13.75	5.31	15.25	5.67
33.75	6.53	5.5	4.15	16.25	4.55
31.75	1.3	16.75	5.17	12.75	8.26
36.75	3.34	14.75	2.17	16.5	3.84
40.5	1.5	17.75	3.11	17	2.45
37.75	1.09	16.75	3.49	22	2.35
41	2.74	9.5	4.92	14.75	3.56
34.5	6.18	13.33	3.4	12.25	7.08
28.67	1.7	19.67	1.25	17.5	0.5
36	6.36	14	4.06	19.25	1.09
41	2.55	10.33	6.24	14.25	3.34
37.5	1.5	16.25	3.83	17	3.24
39	4.9	21	0	12	3
35.67	6.13	11.25	6.18	17.67	4.11
23.25	8.7	10.75	4.15	15	6
38	5.2	17.75	3.11	12.75	5.26
38.67	1.89	16.33	1.25	12.75	2.49
35.33	1.7	21.33	0.47	18	1.41
37.5	1.5	20.75	1.09	12.75	5.31
34.25	5.07	12.5	0.87	18.5	4.09
32	3.24	12.25	5.63	18.25	6.3
31.5	6.87	14.33	3.3	14.33	3.3
40.75	2.68	14.33	4.99	17	1.41
36.5	2.5	21.25	0.43	15	4.3
37.67	1.25	18.5	2.18	22.33	1.25
39.25	6.61	20.75	0.43	18	3.08
29.67	2.05	17	1	22.67	1.7
25.75	3.27	14.75	2.86	14.5	7.23
35.75	5.21	19.75	1.79	21	0.71
33.75	1.3	14.25	6.42	17.75	3.7
34.25	2.38	13	6.12	13.5	8.14
40.25	5.45	14.75	2.68	20	3
28.75	4.09	16.75	3.77	20.75	3.42
26.25	6.14	12.5	6.06	20.75	5.21
40.5	2.69	16.33	4.11	25	1.41
36.75	2.28	20.25	4.49	19	5.2
35.67	4.03	15	4.12	19.33	1.89
36	9.82	15	2.12	15.75	3.9
32.75	2.05	16	3.67	19.25	2.28
22.33	4.11	20.67	0.47	21.5	2.87
36	4.74	14.75	2.68	17.5	4.92
38	1.22	21.5	2.5	20.25	3.11
36.5	0.5	19.25	2.17	19	1.22
37.75	5.49	19	2.74	14.5	3.77
36	6.75	14.75	3.27	17.25	4.97
29	2.74	16.25	3.11	17.75	5.36
39	6.71	17.5	3.28	19	2.35
39.25	2.86	18	1.63	8.67	3.3
35.5	4.15	13.25	1.09	17	4.24
41.33	1.25	18	2.12	11.33	8.18
28.33	5.79	14.67	3.09	16.5	4.15
28.5	5.41	17.75	2.17	15.5	3.57
30	5.79	17.25	1.92	19.5	3.35
38.75	3.49	19.25	1.79	17.5	4.33
35.25	1.3	14	4.64	15.75	1.3
37.75	4.38	11	5.7	12.33	2.05
33	8.15	12.67	0.94	18	4.3
25	4.24	12.25	4.71	11	3.74
31.25	10.11	14.75	3.96	15.5	4.27
34	2.92	15	3	21.5	0.5
29.67	2.87	15.5	7.3	11	2.83
34.5	4.5	15.75	2.49	15.75	4.32
28.8	1.94	12	1.22	18.2	2.64
25.33	3.68	16.25	4.82	11.67	4.5
38.25	7.08	15.75	4.66	13.75	3.03
36.75	3.9	17.5	3.5	16.25	1.92
35.75	3.83	19.67	3.68	18.67	2.62
32.67	8.34	11	3.27	20	2.55
37.5	3.64	15.25	3.42	17	8.22
24.75	5.67	17.5	4.56	21.25	3.7
29.5	7.79	16.75	1.48	8.75	4.26
39.75	3.27	18	3	7.33	4.78
37.75	1.09	18.75	1.79	12.25	2.86
37.75	3.7	15.5	4.39	10.75	1.79
33.5	8.41	14.67	4.92	18.33	2.36
27.75	3.34	16.4	2.06	13.2	3.76
34.5	6.18	14	3.56	11.67	3.68
42.5	3.35	16.75	1.79	18	1.87
40.33	0.94	23	1.22	14.33	0.94
39.33	0.94	17.25	2.28	15.5	5.5
38	8.12	12.5	0.87	15.5	3.5
31	2.83	17.33	2.49	19.25	3.7
27.25	6.94	14.5	5.72	19.25	3.03
37.75	8.81	18.25	3.34	19	2.45
37.75	2.77	22.5	1.12	20.5	1.5
36.5	2.29	17.67	4.03	17.25	1.48
36.25	6.91	12.67	1.7	16.25	1.64
27.25	5.36	10.25	5.07	16.33	2.36
27.75	2.49	16	2.55	15.75	4.82
39.75	5.36	16	2.83	21	0
35.5	1.5	19.25	2.95	16	2.45
36.75	2.49	16.33	1.89	15.33	2.49
41.5	5.68	15	3	16.75	5.89
30	2.45	13.75	4.15	15	3.56
27.33	3.77	12	3.27	15.25	4.02
30.5	7.89	14.75	2.05	15	2.12
35.5	1.5	18.5	1.5	13.5	5.5
36	0	17.75	4.6	13.75	5.07
39	4.12	13.25	3.7	14.25	2.59
36	7.65	19.25	3.63	19	4.42
